"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"WBK","Westpac Banking Corporation","132.79","82428836906.64","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/wbk",
"WHG","Westwood Holdings Group Inc","47.09","382123200.78","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/whg",
"WTM","White Mountains Insurance Group, Ltd.","599","3699549790","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/wtm",
"WSH","Willis Group Holdings Limited","43.13","7551481219.43","n/a","2001","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/wsh",
"WIBC","Wilshire Bancorp, Inc.","7.64","544708743.84","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wibc",
"WTFC","Wintrust Financial Corporation","40.14","1486758786.48","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wtfc",
"WTFCW","Wintrust Financial Corporation","18.97","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wtfcw",
"WETF","WisdomTree Investments, Inc.","12.57","1607215975.35","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/wetf",
"WBKC","Wolverine Bancorp, Inc.","19.1","46828921.6","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/wbkc",
"WF","Woori Finance Holdings Co Ltd","30.52","8199862725.6","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/wf",
"WRLD","World Acceptance Corporation","82","965597314","n/a","1991","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wrld",
"WSFS","WSFS Financial Corporation","58.73","516466921.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wsfs",
"WSFSL","WSFS Financial Corporation","26","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wsfsl",
"WVFC","WVS Financial Corp.","10.7","22019851","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/wvfc",
"XBKS","Xenith Bankshares, Inc.","5.37","56320882.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/xbks",
"XL","XL Group plc","32.01","9273389348.85","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/xl",
"XOOM","Xoom Corporation","24.98","823461303.52","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/xoom",
"YDKN","Yadkin Financial Corporation","15.3","240116211","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ydkn",
"ZION","Zions Bancorporation","29.97","5521966086.42","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zion",
"ZIONW","Zions Bancorporation","6.6715","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionw",
"ZIONZ","Zions Bancorporation","4.37","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionz",
"ZIPR","ZipRealty, Inc.","3.15","65584631.7","n/a","2004","Finance","Real Estate","http://www.nasdaq.com/symbol/zipr",
