"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"QNST","QuinStreet, Inc.","8.9","381587491.1","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/qnst",
"RRD","R.R. Donnelley & Sons Company","14.76","2678940000","n/a","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/rrd",
"RDWR","Radware Ltd.","14.94","669751504.92","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rdwr",
"REIS","Reis, Inc","18.3","199320306","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/reis",
"REFR","Research Frontiers Incorporated","3.94","90289414.3","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/refr",
"RECN","Resources Connection, Inc.","13.16","536865990.08","n/a","2000","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/recn",
"RBA","Ritchie Bros. Auctioneers Incorporated","19.06","2033321009.66","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rba",
"RPXC","RPX Corporation","17.76","915946549.92","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/rpxc",
"RMGN","SCG Financial Acquisition Corp","11.18","70272817.94","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rmgn",
"SREV","ServiceSource International, Inc.","11.17","855774135.4","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/srev",
"GAME","Shanda Games Limited","4.1","267346055.5","65206355","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/game",
"SFLY","Shutterfly, Inc.","57.32","2176550167.8","n/a","2006","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/sfly",
"BID","Sotheby&#39;s","41.06","2803607553.94","n/a","1988","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bid",
"SGRP","SPAR Group, Inc.","2.26","46271337.18","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/sgrp",
"LOV","Spark Networks, Inc.","8.61","181077056.37","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lov",
"LVB","Steinway Musical Instruments, Inc.","36.18","450752654.52","n/a","1996","Miscellaneous","Home Furnishings","http://www.nasdaq.com/symbol/lvb",
"TAOM","Taomee Holdings Limited","4.14","151300241.28","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/taom",
"TTGT","TechTarget, Inc.","4.43","170282683.47","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ttgt",
"NCTY","The9 Limited","3.19","60519180.7","18971530","2004","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ncty",
"TSS","Total System Services, Inc.","25.64","4795009191.96","n/a","1983","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/tss",
"USAT","USA Technologies, Inc.","1.95","64466955.15","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/usat",
"USATP","USA Technologies, Inc.","18.749","8344486.187","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/usatp",
"USATZ","USA Technologies, Inc.","1.01","0","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/usatz",
"VNTV","Vantiv, Inc.","27.63","5788925311.68","n/a","1995","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vntv",
"PAY","Verifone Systems, Inc.","17.76","1927475697.12","n/a","1992","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/pay",
"VVI","Viad Corp","28.18","572748467.92","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vvi",
"VHC","VirnetX Holding Corp","19.17","980566107.75","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/vhc",
"V","Visa Inc.","190.72","151050151315.2","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/v",
"VPRT","Vistaprint N.V.","51.28","1673986832.72","n/a","2005","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/vprt",
"VLTC","Voltari Corporation","3.969","18547887.141","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vltc",
"WAGE","WageWorks, Inc.","34.46","1149477774.66","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wage",
"WBMD","WebMD Health Corp","33.82","1691007136.02","n/a","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wbmd",
"WSTC","West Corporation","23.6","1969412212","n/a","1996","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wstc",
"WU","Western Union Company (The)","17.47","9732736961.62","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wu",
"WEX","WEX Inc.","84.28","3269960757","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wex",
"WILN","Wi-Lan Inc","4.72","571469355.52","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/wiln",
"WNS","WNS (Holdings) Limited","17.45","882761367.8","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wns",
"XWES","World Energy Solutions Inc (DE)","3.56","43131610.76","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xwes",
"XRX","Xerox Corporation","9.82","12058005221.04","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xrx",
"Z","Zillow, Inc.","64.31","2220736778.19","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/z",
